Card,Set,Mana Cost,Card Type,Color,Rarity,imageUrl,lowScore,highScore,review,color,set,power,toughness,text
Soul of the Rapids,Rivals of Ixalan,3UU,Creature  - Elemental,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422076/large/155812_200w.jpg?1515181274,1,,"Soul of the Rapids is a little too pricey for me, though it could be a powerful sideboard card against a removal deck (if such a thing exists). I suppose if you are really short on 5-drops, this could fill in the hole, but that sounds like a rapid path to an 0-3 to me.",blue,rix,3,2,Flying. Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Spell Pierce,Ixalan,U,Instant,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378008/large/145258_200w.jpg?1504822914,0.5,,"This is an awesome Constructed reprint, but a marginal Limited one. Side it in only if your opponent has multiple expensive spells, or if the matchup is very fast and they have a good amount of cheap removal spells they are inclined to play early.",blue,xln,,,Counter target noncreature spell unless its controller pays {2}.
Spell Swindle,Ixalan,3UU,Instant,Blue,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378916/large/Spell-Swindle-Ixalan-Spoiler.png?1505253875,1.5,,"If you land this on an expensive spell, you really did swindle your opponent. That said, leaving 5 mana up is not trivial, and you aren't even guaranteed to have expensive cards to play with all that hard-earned Treasure. I like this in control decks, especially ones with lots of other instants (so that you don't waste your mana if you end up not being able to play this).",blue,xln,,,"Counter target spell. Create X colorless Treasure artifact tokens, where X is that spell's converted mana cost. They have ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Sphinx's Decree,Rivals of Ixalan,1W,Sorcery,White,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421891/large/155694_200w.jpg?1515091970,0,,"I keep reading the card, but I don't see ""draw a card"" anywhere. Don't play this card.",white,rix,,,Each opponent can't cast instant or sorcery spells during that player's next turn.
Spike-Tailed Ceratops,Ixalan,4G,Creature  - Dinosaur,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379507/large/145668_200w.jpg?1505504775,1,,"This won't actually block very many additional creatures because I won't be playing it often. It's kind of a dorky vanilla dude, and you can do better.",green,xln,4,4,Spike-Tailed Ceratops can block an additional creature each combat.
Spire Winder,Rivals of Ixalan,3U,Creature  - Snake,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422077/large/155813_200w.jpg?1515181277,2,,"Spire Winder, on the other hand, is priced to move. It's a decent-sized flyer for 4 mana, and every now and then gets a nice bump in the late game. No deck needs this, but most blue decks would be happy playing it.",blue,rix,2,3,"Flying. Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Spire Winder gets +1/+1 as long as you have the city's blessing."
Spreading Rot,Ixalan,4B,Sorcery,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379540/large/145801_200w.jpg?1505504835,0.5,,"Besides rotting in your hand, this will also rot in your sideboard. I do see some value in siding this against the rare flip lands, but past that it's a pass.",black,xln,,,Destroy target land. Its controller loses 2 life.
Squire's Devotion,Rivals of Ixalan,2W,Enchantment  - Aura,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422057/large/155750_200w.jpg?1515181216,2.5,,"If Mark of the Vampire is good, how can this not be? You get a nice little chump blocker alongside your Aura, and it's 1 mana cheaper to boot. This is good on evasive creatures and otherwise hard-to-kill targets, and because it's only +1/+1 you do need to pick your champion well.",white,rix,,,"Enchant creature. Enchanted creature gets +1/+1 and has lifelink. When Squire's Devotion enters the battlefield, create a 1/1 white Vampire creature token with lifelink."
Stampeding Horncrest,Rivals of Ixalan,4R,Creature  - Dinosaur,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421961/large/155715_200w.jpg?1515173854,2,,"In a deck that reliably has other Dinos in play, the Horncrest is a solid aggressive threat. Not every Dino deck is aggressive, so I imagine this more as the top of the curve in a R/W deck than the middle part of a R/G deck.",red,rix,4,4,Stampeding Horncrest has haste as long as you control another Dinosaur.
Star of Extinction,Ixalan,5RR,Sorcery,Red,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375462/large/142019_200w.jpg?1503948967,2,,"A 7-mana wrath is a few mana more than I like, making this less of an all-star and more of a solid build-around. Destroying a land is a nice bonus, but I'm still not looking to slam this and run with it.",red,xln,,,Destroy target land. Star of Extinction deals 20 damage to each creature and each planeswalker.
Steadfast Armasaur,Ixalan,3W,Creature  - Dinosaur,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379508/large/145731_200w.jpg?1505504777,3,,"I'm not looking forward to playing against this thing. While on the board, it makes any attack or block precarious, and even if you have large enough creatures to survive 3 damage, it can help finish them off. It is mitigated a little by its weakness to flyers, as it can't block and shoot them, but I still think Steadfast Armasaur will be a pest to deal with.",white,xln,2,3,"Vigilance. {1}{W}, {T}: Steadfast Armasaur deals damage equal to its toughness to target creature blocking or blocked by it."
Stone Quarry,Both,,Land,Land,Uncommon,,,,,,,,,Stone Quarry enters the battlefield tapped. {T}: Add {R} or {W} to your mana pool.
Storm Fleet Aerialist,Ixalan,1U,Creature  - Human Pirate,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377658/large/144971_200w.jpg?1504729718,3,,"This is both a raid reward and a raid enabler, and does a very good job on either side. I'm a fan of Storm Fleet Aerialist in any halfway aggressive deck, as triggering raid isn't hard and getting a 2/3 flyer for 2 is a very good deal.",blue,xln,1,2,Flying. Raid — Storm Fleet Aerialist enters the battlefield with a +1/+1 counter on it if you attacked with a creature this turn.
Storm Fleet Arsonist,Ixalan,4R,Creature  - Orc Pirate,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377659/large/144974_200w.jpg?1504729721,3,,"A 5-mana 4/4 that picks up a 2-for-1 a good chunk of the time seems like a deal to me, and I'm happy running this as the top end of aggro or the middle of the curve in midrange. As long as you have some creatures that can plausibly attack, this will pull its weight. There are decks where sacrificing a land is extremely painful, and even against aggro, this does add up. Resources are resources, and losing one is bad.",red,xln,4,4,"Raid — When Storm Fleet Arsonist enters the battlefield, if you attacked with a creature this turn, target opponent sacrifices a permanent."
Storm Fleet Pyromancer,Ixalan,4R,Creature  - Human Pirate Wizard,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379509/large/145797_200w.jpg?1505504779,2.5,,"Storm Fleet Pyromancer is a fine way to spend 5 mana in a beatdown deck, and can pick up a little value out of a midrange deck as well. You will sometimes end up in a spot where it doesn't have good targets, at which point it's a pretty weak play, and without raid this is quite bad. That all adds up to a fine card, but not one of the better pyromancers I've ever seen. I do like attacking a 2/2 into a 4/4 with this in hand, though if they don't block and you just play a 3/2 that shocks the opponent, that isn't huge.",red,xln,3,2,"Raid — When Storm Fleet Pyromancer enters the battlefield, if you attacked with a creature this turn, Storm Fleet Pyromancer deals 2 damage to target creature or player."
Storm Fleet Sprinter,Rivals of Ixalan,1UR,Creature  - Human Pirate,Gold,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421830/large/155646_200w.jpg?1515010976,3.5,,"Sulfuric Vortex that enables raid? Yes, I would like this for my U/R aggro deck. This gets in as soon as it arrives, and doesn't stop until the opponent (or it) is dead.",gold,rix,2,2,Haste. Storm Fleet Sprinter can't be blocked.
Storm Fleet Spy,Ixalan,2U,Creature  - Human Pirate,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378360/large/145272_200w.jpg?1504901311,3,,"The same largely goes for Storm Fleet Spy-if you have 10+ creatures in your deck, I'd run this, and there's even less need to be aggressive. This is just good value, and it shouldn't be hard to figure out how to get an extra card from it.",blue,xln,2,2,"Raid — When Storm Fleet Spy enters the battlefield, if you attacked with a creature this turn, draw a card."
Storm Fleet Swashbuckler,Rivals of Ixalan,1R,Creature  - Human Pirate,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421962/large/155722_200w.jpg?1515173856,2.5,,"A 2/2 Pirate for 2 is passable, even if the ascend upgrade is lacking swash and/or buckle. You're still playing this more often than not, and every now and then it'll hit for 4.",red,rix,2,2,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Storm Fleet Swashbuckler has double strike as long as you have the city's blessing."
Storm Sculptor,Ixalan,3U,Creature  - Merfolk Wizard,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379510/large/145767_200w.jpg?1505504781,2,,"Now this is an interesting one. A 3/2 that can't be blocked is very powerful, and this nominally has a drawback of bouncing one of your creatures in order to make up for that (note that this will bounce itself if it's your only creature). But bouncing creatures with good enters-the-battlefield abilities seems like a natural fit, making Storm Sculptor a powerful engine and a substantial threat. I like this card, though some decks won't be able to play it (decks that are creature-light or have too high a curve). Decks with a low curve or lots of synergy will easily be able to sculpt games where this is awesome, and I think this may be the most interesting common to evaluate. Its value is going to fluctuate wildly, and figuring out when you want it will be a way to gain a good edge.",blue,xln,3,2,"Storm Sculptor can't be blocked. When Storm Sculptor enters the battlefield, return a creature you control to its owner's hand."
Storm the Vault,Rivals of Ixalan,2UR,Legendary Enchantment,Gold,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6417464/large/153226_200w.jpg?1512597266,0,,"Paying this much mana for a card that only generates mana is not what I want to be doing, and especially not when I need to be getting a bunch of damage through for this card to work. Leave this to the Constructed brewers.",gold,rix,,,"Whenever one or more creatures you control deal combat damage to a player, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."". At the beginning of your end step, if you control five or more artifacts, transform Storm the Vault."
Strength of the Pack,Rivals of Ixalan,4GG,Sorcery,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422059/large/155791_200w.jpg?1515181221,2.5,,"How strong the pack is will vary wildly-some games, this will be an absurd finisher, and in others it will rot in your hand. I like it as high-end in a deck with a lot of creatures and a low curve, and would tend to be wary of it in a more midrange/controlling Dinosaur deck.",green,rix,,,Put two +1/+1 counters on each creature you control.
Strider Harness,Rivals of Ixalan,3,Artifact  - Equipment,Artifact,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422060/large/155747_200w.jpg?1515181225,1.5,,"Waiting an extra turn to play a creature kind of negates the haste advantage, and even if you have excess mana, the effect here isn't that impressive. This was mediocre last time it appeared, and I doubt it's much different now.",gold,rix,,,Equipped creature gets +1/+1 and has haste. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
Sun Sentinel,Rivals of Ixalan,1W,Creature  - Human Soldier,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422061/large/155752_200w.jpg?1515181228,2,,"Being off-tribe hurts this one quite a bit, and vigilance isn't even a great ability on a 2/2. You're going to play this to fill out your curve, but it's never going to shine.",white,rix,2,2,Vigilance
Sun-Blessed Mount,Ixalan,3RW,Creature  - Dinosaur,Gold,Rare,,,,,,,4,4,"When Sun-Blessed Mount enters the battlefield, you may search your library and/or graveyard for a card named Huatli, Dinosaur Knight, reveal it, then put it into your hand. If you searched your library this way, shuffle it."
Sun-Collared Raptor,Rivals of Ixalan,1R,Creature  - Dinosaur,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421963/large/155723_200w.jpg?1515173858,1,,"Sun-Collared Raptor is a somewhat strange card. It's not really a 2-drop, as it's horrible to attack with this into a 2/2 early. What it does do is attack for 10 points of trample later in the game, making it a kind of Fireball on legs, if that's what you're looking for. Most of the time, you shouldn't be, so only play this if you're aggressive and really want a finisher. Its weakness early is just too much of a liability in most cases.",red,rix,1,2,Trample. {2}{R}: Sun-Collared Raptor gets +3/+0 until end of turn.
Sun-Crested Pterodon,Rivals of Ixalan,4W,Creature  - Dinosaur,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422062/large/155753_200w.jpg?1515181231,2,,"This isn't the worst 5-drop, as it's got solid stats and potentially two good abilities. I like this in defensive decks, and Dinosaurs can lean that way.",white,rix,2,5,Flying. Sun-Crested Pterodon has vigilance as long as you control another Dinosaur.
Sun-Crowned Hunters,Ixalan,4RR,Creature  - Dinosaur,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6376306/large/144534_200w.jpg?1504290501,2,,"I really like this as the top of the curve in a Dinosaur aggro deck, or even red-black Pirates. It puts a ton of pressure on the opponent, and is one of the enrage cards where you can just kill them if you combo off. I don't think this is great in a Dinosaur Ramp deck, as you want your 6-drops to be a little more defensive, but picking up the first one of these seems worth it for most red decks.",red,xln,5,4,"Enrage — Whenever Sun-Crowned Hunters is dealt damage, it deals 3 damage to target opponent."
Sunbird's Invocation,Ixalan,5R,Enchantment,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375463/large/142020_200w.jpg?1503948969,2,,"This is a decent finisher. It does have the downside of doing nothing for 6 mana, but if you can follow it up with a few spells, it should crush the opponent in a landslide of free cards. Slow decks will have a ton of trouble beating this, and if you can stabilize against a fast deck, this will ensure eventual victory. I could see this being even better than a 2.0, but I'm starting it here because skipping turn 6 is a substantial drawback.",red,xln,,,"Whenever you cast a spell from your hand, reveal the top X cards of your library, where X is that spell's converted mana cost. You may cast a card revealed this way with converted mana cost X or less without paying its mana cost. Put the rest on the bottom of your library in a random order."
Sunpetal Grove,Ixalan,,Land,Land,Rare,,,,,,,,,Sunpetal Grove enters the battlefield tapped unless you control a Forest or a Plains. {T}: Add {G} or {W} to your mana pool.
Sunrise Seeker,Ixalan,4W,Creature  - Human Scout,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379541/large/145733_200w.jpg?1505504836,2.5,,"Sunrise Seeker is quite the acceptable 5-drop, and one that makes it more likely for you to have a smooth late game. As with all 5s, they don't stack super well, so don't worry too much about picking these up early.",white,xln,3,3,"Vigilance. When Sunrise Seeker enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Sure Strike,Ixalan,1R,Instant,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379674/large/145810_200w.jpg?1505508579,1.5,,"This sure is a mediocre combat trick. You will win almost every fight, which is nice, but it costs 2 mana and doesn't pump toughness, limiting it to in-combat applications only. I suspect you won't feel too bad if you don't pick one of these up, so I wouldn't prioritize it.",red,xln,,,Target creature gets +3/+0 and gains first strike until end of turn.
Swab Goblin,Rivals of Ixalan,1R,Creature  - Goblin Pirate,Red,Common,,,,,,,2,2,
Swaggering Corsair,Rivals of Ixalan,2R,Creature  - Human Pirate,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421757/large/155574_200w.jpg?1514916884,3,,"It's not hard to make this a 3/3, and at that cost you're happy with the result. Even if this doesn't always have swagger, it's still a Pirate, and still fills out your curve.",red,rix,2,2,Raid — Swaggering Corsair enters the battlefield with a +1/+1 counter on it if you attacked with a creature this turn.
Swashbuckling,Ixalan,1R,Enchantment  - Aura,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379675/large/145804_200w.jpg?1505508583,0.5,,"In hyper-aggressive Pirates decks, maybe, just maybe, this is a 24th card. It's just not worth a card to get +2/+2, and playing it in the same turn in order to get haste is pretty hard to set up.",red,xln,,,Enchant creature. Enchanted creature gets +2/+2 and has haste.
Swift Warden,Rivals of Ixalan,1GG,Creature  - Merfolk Warrior,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421831/large/155647_200w.jpg?1515010979,3.5,,"You either ambush a spell or a creature, and both outcomes are great for you. If it looks like there are no good ambushes forthcoming, you can also just run this out and swiftly apply pressure to the opponent. I'd play this with no other Merfolk, though it does get a lot better when you're running the full seafood platter.",green,rix,3,3,"Flash. When Swift Warden enters the battlefield, target Merfolk you control gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)"
Sword-Point Diplomacy,Ixalan,2B,Sorcery,Black,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379543/large/145802_200w.jpg?1505504840,1,,"Even in the most aggressive deck, this has a pretty bad fail case. The opponent can let you have ineffective or mediocre cards (or lands), and only pay life if they really need to stop something. In any deck that isn't attacking, this is worse than useless.",black,xln,,,"Reveal the top three cards of your library. For each of those cards, put that card into your hand unless any opponent pays 3 life. Then exile the rest."
Sworn Guardian,Rivals of Ixalan,1U,Creature  - Merfolk Warrior,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422078/large/155814_200w.jpg?1515181280,1.5,,"If you need a 2-drop and/or Merfolk, this is a passable defensive play. I'm not going nuts over this, but I'll cast it before the format is done.",blue,rix,1,3,
Tempest Caller,Ixalan,2UU,Creature  - Merfolk Wizard,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379514/large/145768_200w.jpg?1505504789,3,,"In aggressive decks, this is a great finisher, while also being fine to run out on turn 5 or 6 to get a couple of damage through. I wouldn't call it a bomb, but it's exactly what aggro needs to close out games.",blue,xln,2,3,"When Tempest Caller enters the battlefield, tap all creatures target opponent controls."
Temple Altisaur,Rivals of Ixalan,4W,Creature  - Dinosaur,White,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421832/large/155648_200w.jpg?1515010982,3.5,,"Now this is an annoying card to play against. It lets your Dinos get enraged, but nothing more, as they are essentially immune to damage once this hits the board. You need a decent amount of Dinos to go with this, but once you've got that, you are set.",white,rix,3,4,"If a source would deal damage to another Dinosaur you control, prevent all but 1 of that damage."
Tendershoot Dryad,Rivals of Ixalan,4G,Creature  - Dryad,Green,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421758/large/155580_200w.jpg?1514916885,4,,"The biggest drawback of this card is that it's a nice tender 2/2, ripe for removal. But if the opponent doesn't have a kill spell, it gets out of control quickly. It makes you ascend almost immediately, and then makes two 3/3s per turn cycle (note that it triggers on their turn too). That's a lot of finishing power and an immediate reward.",green,rix,2,2,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). At the beginning of each upkeep, create a 1/1 green Saproling creature token. Saprolings you control get +2/+2 as long as you have the city's blessing."
Territorial Hammerskull,Ixalan,2W,Creature  - Dinosaur,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379515/large/145735_200w.jpg?1505504792,3,,"The rating here isn't strictly for aggressive decks, as a 2/3 for 3 is passable outside of them, but aggro is where this really hits the nail on the head. If your opponent is trying to block you, this makes things nearly impossible for them, and it's my prediction for the most annoying card by far out of an aggro deck.",white,xln,2,3,"Whenever Territorial Hammerskull attacks, tap target creature an opponent controls."
"Tetzimoc, Primal Death",Rivals of Ixalan,4BB,Legendary Creature  - Elder Dinosaur,Black,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421759/large/155569_200w.jpg?1514916887,4.5,,"""I'll reveal Tetzimoc and put a counter on your creature."" This seems like one of the most demotivating statements you can hear in this format, and when you hear it once, you have the pleasure of hearing it many more times over the course of the game. There's just not much you can do to play around Tetzimoc, as it's not like a normal Wrath-it's a Plague Wind. You can't hold creatures back because there's nothing stopping your opponent from playing their creatures and getting ahead on board, meaning you need to play enough to not get overrun. At that point, Tetzimoc goes hunting and takes out multiple creatures, which is almost impossible to come back from. This is a beating, and that's without even factoring the 6/6 deathtouch part, which is decidedly relevant. This may be the best card in the set, which is especially rough when it's a rare.",black,rix,6,6,"Deathtouch. {B}, Reveal Tetzimoc, Primal Death from your hand: Put a prey counter on target creature. Activate this ability only during your turn. When Tetzimoc enters the battlefield, destroy each creature your opponents control with a prey counter on it."
Thaumatic Compass,Ixalan,2,Artifact,Artifact,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377660/large/144977_200w.jpg?1504729724,2.5,,"I love the idea of grinding out my opponent with this, as it looks like a solid addition to any control deck. It's as slow as they come, so don't go adding it to your aggro decks, but in midrange or control it can be effective. Once it flips, it does an amazing job of keeping you alive, giving you time to finish the game with whatever you desire.",gold,xln,,,"{3}, {T}: Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library. At the beginning of your end step, if you control seven or more lands, transform Thaumatic Compass."
The Immortal Sun,Rivals of Ixalan,6,Legendary Artifact,Artifact,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421767/large/155586_200w.jpg?1514916900,4,,"Getting an extra card each turn and making all of your creatures bigger is already great, and making all of your cards cheaper really makes this a game-ender. You get more cards and the ability to play them all, and they are all better. Plus, every now and then you'll hose a planeswalker.",gold,rix,,,"Players can't activate planeswalkers' loyalty abilities. At the beginning of your draw step, draw an additional card. Spells you cast cost {1} less to cast. Creatures you control get +1/+1."
Thrash of Raptors,Ixalan,3R,Creature  - Dinosaur,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379676/large/145805_200w.jpg?1505508585,2.5,,"In a midrange Dinosaur deck, this will thrash your opponent very quickly. A 5/3 trample is a great deal for 4, and this plays nicely with fight cards and combat tricks. Outside of Dinosaur decks, this is a marginal playable, but a 3/3 for 4 isn't so bad that you can't run it with just a few other Dinos.",red,xln,3,3,"As long as you control another Dinosaur, Thrash of Raptors gets +2/+0 and has trample."
Thrashing Brontodon,Rivals of Ixalan,1GG,Creature  - Dinosaur,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422064/large/155793_200w.jpg?1515181238,3.5,,"Green gets some efficient uncommons here, and this shatters the normal stat/cost ratio. It also has the ability to throw itself at a pesky artifact or enchantment, making it relevant even when the board gets stalled.",green,rix,3,4,"{1}, Sacrifice Thrashing Brontodon: Destroy target artifact or enchantment."
Thunderherd Migration,Rivals of Ixalan,1G,Sorcery,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421892/large/155695_200w.jpg?1515091972,2,,"In a dedicated Dino deck, this is one of the better 2-drops, as it ramps you right to the part of the curve where Dinos excels (the top part). Outside of Dinos, it's not worth playing, unless you had a busted deck that required splashing. 3 is too much to pay for this effect, while 2 is exciting.",green,rix,,,"As an additional cost to cast Thunderherd Migration, reveal a Dinosaur card from your hand or pay {1}. Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library."
Thundering Spineback,Ixalan,5GG,Creature  - Dinosaur,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378361/large/145273_200w.jpg?1504901313,3,,"7 is a lot of mana, so I'm not over the moon about this, but it's still going to be great when you ramp into it. It's an engine all by itself, and is a legit way to finish the game in a ramp or control deck.",green,xln,5,5,Other Dinosaurs you control get +1/+1. {5}{G}: Create a 3/3 green Dinosaur creature token with trample.
Tilonalli's Crown,Rivals of Ixalan,1R,Enchantment  - Aura,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421964/large/155726_200w.jpg?1515173859,1.5,,"There's a lot going on here. It deals 1, so it triggers enrage, and you can even put it on the opponent's creatures if you want to ping them. It also offers a lot of power and trample, so if you can slap it on an evasive creature you can deal a ton of damage. Ultimately, you will want to play this with 2-toughness flyers, creatures tough enough to live through a combat, and against opponents with 1-toughness creatures to pick off. This card is neat, but very cuttable, because of how much help it needs to be good. Where you shouldn't play it is in a deck with a bunch of 2/2s and 3/3s, because that's just asking to get 2-for-1'd.",red,rix,,,"Enchant creature. When Tilonalli's Crown enters the battlefield, it deals 1 damage to enchanted creature. Enchanted creature gets +3/+0 and has trample."
Tilonalli's Knight,Ixalan,1R,Creature  - Human Knight,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379677/large/145806_200w.jpg?1505508587,1.5,,"It does look like the low-curve Dinosaur beatdown deck is being pushed, as this Knight fits in perfectly. If you are attacking and have 8+ Dinosaurs, go for it, but otherwise leave this out.",red,xln,2,2,"Whenever Tilonalli's Knight attacks, if you control a Dinosaur, Tilonalli's Knight gets +1/+1 until end of turn."
Tilonalli's Skinshifter,Ixalan,2R,Creature  - Human Shaman,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375466/large/142021_200w.jpg?1503948974,1.5,,"The whole point of clones is that they let you copy your opponent's cards when you are behind, which this doesn't do. It does lead to some really aggressive beatdown draws, and if you can play a good 4- or 5-drop into this you will probably run away with the game. That's still a bit win-more for my tastes, and if they bounce or kill the creature you target in response, you get totally owned. For the most part, I recommend against crawling in your skin, and suspect this will be one of the more disappointing cards despite the high upside.",red,xln,0,1,"Haste. Whenever Tilonalli's Skinshifter attacks, it becomes a copy of another target nonlegendary attacking creature until end of turn."
Tilonalli's Summoner,Rivals of Ixalan,1R,Creature  - Human Shaman,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421833/large/155649_200w.jpg?1515010984,1.5,,"While it is cute that this gets you to ascend quickly, it also will end up dying the instant it steps foot into combat. I think I'd want 3-4 good ascend payoffs or a deck really built around going wide before running this.",red,rix,1,1,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Whenever Tilonalli's Summoner attacks, you may pay {X}{R}. If you do, create X 1/1 red Elemental creature tokens that are tapped and attacking. At the beginning of the next end step, exile those tokens unless you have the city's blessing."
Timestream Navigator,Rivals of Ixalan,1U,Creature  - Human Pirate Wizard,Blue,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421834/large/155650_200w.jpg?1515010987,0,,"Look, I'm not one to step on your dreams-the goal of using this with an empty library is a noble one. I'm here to give my opinion on the power level and use of the cards, and this has a low power level and no good usage. The fact that Timestream Navigator is a blank before 10 permanents just kills it, and it doesn't even do all that much when you do get there.",blue,rix,1,1,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). {2}{U}{U}, {T}, Put Timestream Navigator on the bottom of its owner's library: Take an extra turn after this one. Activate this ability only if you have the city's blessing."
"Tishana, Voice of Thunder",Ixalan,5GU,Legendary Creature  - Merfolk Shaman,Gold,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375465/large/142032_200w.jpg?1503948972,2.5,,"A 7-drop that requires a board presence to be good isn't exactly high on my list of bombs, though this will have games where it draws you three cards and is a 6/6. If you are playing ramp/control and have a decent amount of creatures, this is a fantastic finisher. In aggressive or creature-light decks, it's more noise than actual power.",gold,xln,*,*,"Tishana, Voice of Thunder's power and toughness are each equal to the number of cards in your hand. You have no maximum hand size. When Tishana enters the battlefield, draw a card for each creature you control."
Tishana's Wayfinder,Ixalan,2G,Creature  - Merfolk Scout,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6376307/large/144535_200w.jpg?1504290503,3,,Explore cards are still good.,green,xln,2,2,"When Tishana's Wayfinder enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Tocatli Honor Guard,Ixalan,1W,Creature  - Human Soldier,White,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375431/large/142000_200w.jpg?1503948891,1.5,,"If you want a 1/3 for 2, well, you're in luck. If you have a specific reason to stop triggers, this does do that, and I can see Tocatli Honor Guard being a solid sideboard card against bombs like the various Sun's Avatars and whatnot.",white,xln,1,3,Creatures entering the battlefield don't cause abilities to trigger.
Tomb Robber,Rivals of Ixalan,2B,Creature  - Human Pirate,Black,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421893/large/155696_200w.jpg?1515091974,3.5,,"Now this is what I call flood protection. Tomb Robber gives you a ton of value for your excess cards, and even generates some of those very same cards. It'll get big soon, and find you good things to cast in the meantime. I'm a fan.",black,rix,1,1,"Menace. {1}, Discard a card: Tomb Robber explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
